SampleID,ReactorID,Plate,Reactor,Feedstock,Inoculum,ExpDay,FeedNum,FeedDay,Succinic,Lactic,Formic,Acetic,Propionic,Isobutyric,Butyric,Ethanol,Isovaleric,Valeric,Isocaproic,Caproic,Heptanoic
TB97,G1_TB_F_D15_2,ARPA_TB_P4,G1,LFW,Drake,15,2,0,9.41,7.62,0.52,8.66,0.36,0.03,0,3.21,0,2.35,0,0,0
TB98,G2_TB_C_D32,ARPA_TB_P4,G2,M+PPB,Rumen,32,,,0.08,0.17,0.09,5.03,1.51,0,1.39,0.16,0,0.26,0,0.54,0
TB99,G3_TB_C_D32,ARPA_TB_P4,G3,M+PPB,Rumen,32,,,0.03,0,0,8.95,2.52,0,2.26,0,0,0.77,0,1.52,0
TB100,G4_TB_C_D32,ARPA_TB_P4,G4,M+PPB,Rumen,32,,,0,0.04,0,6.82,2.32,0,2,0,0,0.61,0,1.32,0
TB101,G8_TB_C_D32,ARPA_TB_P4,G8,Grass,Rumen,32,,,0,0,0,7.83,3.18,0.2,3.36,0.47,0,1.42,0.4,3.72,0
TB102,Y4_TB_C_D32,ARPA_TB_P4,Y4,Grass,Rumen,32,,,0,0,0,8.02,2.91,0.08,3.67,0.12,0.08,1.53,0.27,5.03,0.67
TB103,Y5_TB_C_D32,ARPA_TB_P4,Y5,Grass,Rumen,32,,,0,0,0,6.53,2.14,0.13,2.99,1,0,1.32,0,2.12,0
TB104,W7_TB_F_D18,ARPA_TB_P4,W7,LFW,Drake,17,,,19.53,23.09,0,11.53,2.54,0.01,2.08,4.44,0,1.58,0,0,0
TB105,W8_TB_F_D18,ARPA_TB_P4,W8,LFW,Drake,17,,,16.14,21.03,0,11,0.37,0.13,0,7.05,0,1.77,0,0,0
TB106,G1_TB_F_D18,ARPA_TB_P4,G1,LFW,Drake,17,,,5.74,26.09,0.11,7.66,4.52,0.37,3.94,8.18,0.24,4.49,0,2.02,0
TB108,G2_TB_C_D37,ARPA_TB_P4,G2,M+PPB,Rumen,37,,,0.11,0.07,0.22,5.77,1.89,0,1.68,0.44,0,0.3,0,0.41,0
TB109,G3_TB_C_D37,ARPA_TB_P4,G3,M+PPB,Rumen,37,,,0,0,0,10.53,3.18,0,2.45,0,0,0.94,0,1.72,0
TB110,G4_TB_C_D37,ARPA_TB_P4,G4,M+PPB,Rumen,37,,,0,0,0,8.03,2.98,0.01,2.59,0,0,0.83,0,1.81,0
TB111,G8_TB_C_D37,ARPA_TB_P4,G8,Grass,Rumen,37,,,0,0,0,8.76,3.37,0.24,3.43,0.37,0,1.72,0.37,3.7,0
TB112,Y4_TB_C_D37,ARPA_TB_P4,Y4,Grass,Rumen,37,,,0,0,0,7.45,2.75,0.13,3.32,0,0,1.44,0.33,4.1,0
TB113,Y5_TB_C_D37,ARPA_TB_P4,Y5,Grass,Rumen,37,,,0.01,0,0,7.63,2.73,0.27,3.2,0.52,0,1.69,0.31,3.3,0.5
TB114,W7_TB_F_D23,ARPA_TB_P4,W7,LFW,Drake,23,,,20.55,22.32,0,13.19,2.97,0.04,2.18,4.46,0,1.58,0,0,0
TB115,W8_TB_F_D23,ARPA_TB_P4,W8,LFW,Drake,23,,,20.85,19.35,0,12.8,0.38,0.19,0,6.78,0,1.93,0,0,0
TB116,G1_TB_F_D23,ARPA_TB_P4,G1,LFW,Drake,23,,,8.83,23.78,0.92,9.75,3.93,0.4,3.53,7.16,0.11,4.07,0,1.71,0
TB117,G2_TB_C_D42_3,ARPA_TB_P4,G2,M+PPB,Rumen,42,,14,0.03,0.06,0.13,5.24,1.67,0.05,1.88,0,0,0.23,0,0.25,0
TB118,G3_TB_C_D42_3,ARPA_TB_P4,G3,M+PPB,Rumen,42,,14,0,0,0,10.85,3.46,0.07,3,0,0.11,1.04,0,2.32,0
TB119,G4_TB_C_D42_3,ARPA_TB_P4,G4,M+PPB,Rumen,42,,14,0,0.04,0,7.28,2.83,0.08,2.65,0,0,0.9,0.08,1.82,0
TB120,G5_TB_C_D42_3,ARPA_TB_P4,G5,Inoc. control,Inoc. control,42,,14,0,0,0,2.23,0.9,0,0.38,0,0,0.02,0,0,0
TB121,G6_TB_C_D42_3,ARPA_TB_P4,G6,Inoc. control,Inoc. control,42,,14,0,0,0,1.45,0.81,0,0.54,0,0,0.1,0,0,0
TB122,G7_TB_C_D42_3,ARPA_TB_P4,G7,Inoc. control,Inoc. control,42,,14,0,0,0,0,0.64,0.01,0.08,0,0,0,0,0,0
TB123,G8_TB_C_D42_3,ARPA_TB_P4,G8,Grass,Rumen,42,,14,0,0,0,9.35,3.64,0.32,3.99,0,0.14,1.87,1.12,4.83,1.94
TB124,Y4_TB_C_D42_3,ARPA_TB_P4,Y4,Grass,Rumen,42,,14,0,0,0,7.96,2.83,0.22,4.01,0,0.11,1.63,1.26,5.36,1.5
TB125,Y5_TB_C_D42_3,ARPA_TB_P4,Y5,Grass,Rumen,42,,14,0,0,0,7.83,3,0.32,3.66,0.01,0,1.73,1.01,4.39,1.91
TB126,W7_TB_F_D28_2,ARPA_TB_P4,W7,LFW,Drake,28,,14,9.65,24.41,0,9.97,4.14,0.14,4.14,7.49,0.42,4.64,0,2.29,0.4
