Genome,Tax_Label,Alt_Tax_Label
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,H1_20WD_25_1_Sub.10 UBA7748 sp900314535,UBA7748 sp900314535 MAG.1
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.11,H1_20WD_25_1_Sub.11 Bulleidia sp900319505,Bulleidia sp900319505 MAG.2
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.13,H1_20WD_25_1_Sub.13 Pseudoramibacter sp022484225,Pseudoramibacter sp022484225 MAG.3
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,H1_20WD_25_1_Sub.14 Weimeria bifida,Weimeria bifida MAG.4
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.15,H1_20WD_25_1_Sub.15 Chordicoccus sp900315305,Chordicoccus sp900315305 MAG.5
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.16,H1_20WD_25_1_Sub.16 Lactobacillus amylovorus,Lactobacillus amylovorus MAG.6
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.17,H1_20WD_25_1_Sub.17 Parafannyhessea sp003862195,Parafannyhessea sp003862195 MAG.7
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.19,H1_20WD_25_1_Sub.19 RUG420 sp900542575,RUG420 sp900542575 MAG.8
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.2,H1_20WD_25_1_Sub.2 Dellaglioa algida,Dellaglioa algida MAG.9
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,H1_20WD_25_1_Sub.5 Bulleidia Unclassified,Bulleidia Unclassified MAG.10
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,H1_20WD_25_1_Sub.7 Weimeria sp900316165,Weimeria sp900316165 MAG.11
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,H1_20WD_25_1_Sub.9 Eubacterium_T sp905214225,Eubacterium_T sp905214225 MAG.12
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.1,H2_20WD_25_1_Sub.1 Lactobacillus sp022483245,Lactobacillus sp022483245 MAG.13
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,H2_20WD_25_1_Sub.10 Limosilactobacillus intestinavium,Limosilactobacillus intestinavium MAG.14
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.12,H2_20WD_25_1_Sub.12 Limosilactobacillus mucosae,Limosilactobacillus mucosae MAG.15
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.3,H2_20WD_25_1_Sub.3 Lactobacillus sp944327175,Lactobacillus sp944327175 MAG.16
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,H2_20WD_25_1_Sub.5 Lactobacillus amylovorus,Lactobacillus amylovorus MAG.17
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.6,H2_20WD_25_1_Sub.6 Leuconostoc gelidum,Leuconostoc gelidum MAG.18
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,H2_20WD_25_1_Sub.7 Limosilactobacillus vaginalis,Limosilactobacillus vaginalis MAG.19
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.8,H2_20WD_25_1_Sub.8 Limosilactobacillus oris,Limosilactobacillus oris MAG.20
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,H2_20WD_25_1_Sub.9 Lactobacillus gasseri,Lactobacillus gasseri MAG.21
H2_20WD_concat_50pcnt_copy1_Sub_assembly-bin.12,H2_20WD_50_1_Sub.12 Aeriscardovia sp903789535,Aeriscardovia sp903789535 MAG.22
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,H3_20WD_25_1_Sub.14 Limosilactobacillus mucosae,Limosilactobacillus mucosae MAG.23
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.21,H3_20WD_25_1_Sub.21 Eubacterium_T Unclassified,Eubacterium_T Unclassified MAG.24
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.4,H3_20WD_25_1_Sub.4 Pseudoramibacter fermentans,Pseudoramibacter fermentans MAG.25
H4_20WD_concat_50pcnt_copy1_Sub_assembly-bin.9,H4_20WD_50_1_Sub.9 Lactococcus_A carnosus,Lactococcus_A carnosus MAG.26
H4_20WD_concat_50pcnt_copy3_Sub_assembly-bin.5,H4_20WD_50_3_Sub.5 Lactobacillus sp944327175,Lactobacillus sp944327175 MAG.27
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.11,W7_8_14A_25_1_Sub.11 Aeriscardovia sp903789535,Aeriscardovia sp903789535 MAG.28
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.13,W7_8_14A_25_1_Sub.13 Lactobacillus sp905214545,Lactobacillus sp905214545 MAG.29
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.5,W7_8_14A_25_1_Sub.5 Limosilactobacillus intestinavium,Limosilactobacillus intestinavium MAG.30
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.6,W7_8_14A_25_1_Sub.6 Clostridium_B sp003497125,Clostridium_B sp003497125 MAG.31
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.7,W7_8_14A_25_1_Sub.7 Limosilactobacillus panis,Limosilactobacillus panis MAG.32
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.8,W7_8_14A_25_1_Sub.8 Ligilactobacillus acidipiscis,Ligilactobacillus acidipiscis MAG.33
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.9,W7_8_14A_25_1_Sub.9 Lactobacillus acetotolerans,Lactobacillus acetotolerans MAG.34
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.16,W7_8_14A_50_1_Sub.16 CAIFEG01 Unclassified,CAIFEG01 Unclassified MAG.35
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.8,W7_8_14A_50_1_Sub.8 Lacticaseibacillus paracasei,Lacticaseibacillus paracasei MAG.36
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.1,W7_8_19_25_1_Sub.1 Turicibacter bilis,Turicibacter bilis MAG.37
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.10,W7_8_19_25_1_Sub.10 Atopostipes Unclassified,Atopostipes Unclassified MAG.38
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.2,W7_8_19_25_1_Sub.2 JAUNQW01 Unclassified,JAUNQW01 Unclassified MAG.39
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.20,W7_8_19_25_1_Sub.20 Pseudomonas_E iridis,Pseudomonas_E iridis MAG.40
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.22,W7_8_19_25_1_Sub.22 Rahnella aceris,Rahnella aceris MAG.41
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.24,W7_8_19_25_1_Sub.24 Telluria Unclassified,Telluria Unclassified MAG.42
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.25,W7_8_19_25_1_Sub.25 Lactobacillus sp905214545,Lactobacillus sp905214545 MAG.43
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.26,W7_8_19_25_1_Sub.26 Pseudomonas_E paracarnis,Pseudomonas_E paracarnis MAG.44
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.29,W7_8_19_25_1_Sub.29 Corynebacterium maris,Corynebacterium maris MAG.45
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.3,W7_8_19_25_1_Sub.3 Atopostipes Unclassified,Atopostipes Unclassified MAG.46
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.32,W7_8_19_25_1_Sub.32 CALBOC01 Unclassified,CALBOC01 Unclassified MAG.47
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.8,W7_8_19_25_2_Sub.8 Pseudogracilibacillus Unclassified,Pseudogracilibacillus Unclassified MAG.48
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.14,W7_8_19_50_1_Sub.14 Yersinia intermedia,Yersinia intermedia MAG.49
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.15,W7_8_19_50_1_Sub.15 Jeotgalicoccus Unclassified,Jeotgalicoccus Unclassified MAG.50
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.23,W7_8_19_50_1_Sub.23 Tissierella_A Unclassified,Tissierella_A Unclassified MAG.51
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.27,W7_8_19_50_1_Sub.27 Planococcus Unclassified,Planococcus Unclassified MAG.52
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.32,W7_8_19_50_1_Sub.32 Corynebacterium sp012838715,Corynebacterium sp012838715 MAG.53
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.4,W7_8_19_50_1_Sub.4 Clostridium Unclassified,Clostridium Unclassified MAG.54
