Genome,Y5_8_14,Y5_8_19E,Y5_8_28,Y5_8_8,Y5_9_2B,Y5_9_9B
unmapped,2.763784,2.1924496,10.208893,2.93594,3.1396568,2.8077006
Y5_8_14_concat_25pcnt_copy2_Sub_assembly-bin.42,0.3776133,0.07187907,0.014983054,0.4077011,0.00633229,0.008281085
Y5_9_2B_concat_50pcnt_copy1_Sub_assembly-bin.32,0.002227312,0.06297774,0.04639111,0.002748303,0.5832833,0.5361871
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,0.038199842,0.012890423,0.005521125,0.019721784,0.005827389,0.003228711
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,7.21207E-05,0.000286703,4.55194E-05,3.60502E-05,3.16237E-05,2.67332E-05
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.34,1.0524936,0.09432199,8.026306,2.0597231,0.57286805,0.20932095
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.1,0.59614146,0.06591698,0.080168635,0.5371555,0.7419653,0.69458926
Y5_Co_assembly-bin.70,0.20240062,0.023785485,0.022167759,0.10933353,0.086615026,0.086641185
Y5_8_8_concat_25pcnt_copy3_Sub_assembly-bin.1,0.3561751,0.07789336,0.004784711,0.5054651,0.002841322,0.003181798
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.32,0.36566386,0.05094723,0.07474221,0.2445986,0.13905764,0.28518263
Y5_Co_assembly-bin.146,0.13137062,0.049553793,0.17769939,0.015602444,0.021673458,0.032730192
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.15,0.00042152,3.99079E-05,2.21711E-05,0.000546266,1.54029E-05,0
Y5_Co_assembly-bin.39,0.21969686,0.18400842,0.014878214,0.04549586,0.026987074,0.003770415
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.21,0.004671072,0.000401887,0.000110718,0.002195962,0.000175795,6.11919E-05
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.37,1.0855024,0.22614168,0.29246718,0.93129766,0.23170607,0.16192313
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.27,0.000741161,5.91304E-05,0,0.002603184,0,6.43091E-06
Y5_Co_assembly-bin.64,0.024800314,0.005631178,0.119083166,0.01372266,0.13196088,0.08925961
