Genome,Quality,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.1,Low,42.02,0.34,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp945867155
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,88.7,0.55,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,UBA7748,UBA7748 sp900314535
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.11,Medium,84.09,3.22,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp900319505
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.12,Low,38.47,0.06,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia sp903789535
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,55.94,1.81,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp022484225
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,Medium,76.27,0.02,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria,Weimeria bifida
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.15,High,99.35,0.27,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Chordicoccus,Chordicoccus sp900315305
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.16,Medium,88.22,1.29,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.17,Medium,83.33,1.73,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,Parafannyhessea sp003862195
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.18,Low,6.24,0.45,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.19,High,93.19,0,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,RUG420,RUG420 sp900542575
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.2,High,100,0.27,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa algida
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.3,Low,10.24,0.14,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp945867155
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.4,Low,14.75,0.03,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp945867155
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,Medium,81.73,1.2,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Unclassified
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.6,Low,16.68,0,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp022484225
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,Medium,66.75,0.09,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria,Weimeria sp900316165
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.8,Low,10.55,0,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria,Weimeria bifida
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,79.97,3.91,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T sp905214225
H1_20WD_concat_50pcnt_copy1_Sub_assembly-bin.1,Low,49.6,0.37,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Unclassified
H1_20WD_concat_50pcnt_copy1_Sub_assembly-bin.3,Low,9.52,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H1_20WD_concat_50pcnt_copy2_Sub_assembly-bin.23,Low,8.14,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.1,Medium,74.18,0.04,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp022483245
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,81.13,3.12,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus intestinavium
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.12,Medium,57.29,1.41,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.2,Low,13.88,0.04,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.3,Medium,85.07,0.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp944327175
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.4,Low,10.61,0.03,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp022483245
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,High,99.79,0.53,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.6,Medium,76.04,1.09,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,High,99.96,2.28,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus vaginalis
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.8,High,99.98,1.19,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus oris
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,84.13,0.06,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
H2_20WD_concat_25pcnt_copy2_Sub_assembly-bin.5,Low,14.17,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus pontis
H2_20WD_concat_25pcnt_copy3_Sub_assembly-bin.12,Low,5.05,1,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H2_20WD_concat_25pcnt_copy3_Sub_assembly-bin.7,Low,9.21,0.06,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H2_20WD_concat_50pcnt_copy1_Sub_assembly-bin.12,Medium,72.37,0.66,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia sp903789535
H2_20WD_concat_50pcnt_copy1_Sub_assembly-bin.17,Low,6.87,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H2_20WD_concat_50pcnt_copy1_Sub_assembly-bin.2,Low,5.7,0.14,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
H2_20WD_concat_50pcnt_copy2_Sub_assembly-bin.7,Low,10.04,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H2_20WD_concat_50pcnt_copy2_Sub_assembly-bin.8,Low,8.71,0.51,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,Medium,76.36,1.95,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.16,Low,17.08,3.36,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp900319505
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.17,Low,18.13,0.11,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.19,Low,38.34,0.41,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Chordicoccus,Chordicoccus sp900315305
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.20,Low,32.54,0.01,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
