Genome,Quality,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species
Y5_Co_assembly-bin.127,Medium,60.79,0.86,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp900314635
Y5_Co_assembly-bin.62,Medium,89.07,0.41,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp900322125
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.15,High,99.35,0.27,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Chordicoccus,Chordicoccus sp900315305
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.19,High,93.19,0,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,RUG420,RUG420 sp900542575
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.2,High,100,0.27,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa algida
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,High,99.79,0.53,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,High,99.96,2.28,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus vaginalis
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.8,High,99.98,1.19,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus oris
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.11,High,90.47,0.13,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia sp903789535
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.5,High,91.49,1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus intestinavium
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.6,High,100,0.18,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium_B sp003497125
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.7,High,90.22,1.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus panis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.24,High,100,0.68,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.29,High,94.58,1.32,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium maris
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.8,High,93.8,3.13,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.11,High,94.78,1.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_B,Unclassified
